PSR_ID,lat,lon,area_km2,n_overview_px,mean_slope_deg,mean_roughness_rms_m,mean_illumination_fraction,mean_hazard_score
SP_885280_1846930,-88.528,184.689,11.624,73,2.736927906641461,32.77048367364718,0.0,0.38817640563827427
SP_889130_1507620,-88.913,150.762,15.563,96,4.043886071527215,41.62257070195486,0.0,0.4087232084014605
SP_869250_0482770,-86.925,48.276,10.919,67,4.715179061262959,49.032957371465145,0.0,0.42180439284578336
SP_878330_1263810,-87.832,126.38,11.099,67,4.7103478317892815,50.602391532316474,0.0,0.42314263662786633
SP_889970_3170870,-88.997,317.091,44.323,266,5.003127362523946,50.466085750181755,0.0,0.42587476608137464
SP_889630_1297830,-88.963,129.783,6.001,37,4.807907308350909,52.638804694389265,0.0,0.42589063010960815
SP_886050_2261990,-88.605,226.199,6.34,39,5.38158917135305,51.00508695446684,0.0,0.4300377486613451
SP_869430_0435040,-86.943,43.504,5.443,32,5.191582436103133,54.781193109259625,0.0,0.43151968662123463
SP_881000_1147820,-88.1,114.79,183.312,1121,5.281356231196037,53.83607615139462,0.0,0.43156008140693813
SP_887280_1688800,-88.728,168.88,88.607,537,5.138483844343636,55.558184467782866,0.0,0.4316882033809041
SP_864540_2463730,-86.454,246.373,6.156,35,5.199232946139957,55.85124839091613,0.0,0.43253874224607014
SP_873970_2748620,-87.397,274.862,5.774,38,5.435800185101845,53.35402966816054,0.0,0.4326392783620654
SP_869800_1078330,-86.98,107.833,68.591,417,5.425823573844752,56.17865110895935,0.0,0.43503532490801566
SP_869020_0278760,-86.902,27.874,11.495,69,5.720456977071127,54.4845387184572,0.0,0.4364104667174486
SP_872560_3120600,-87.256,312.056,20.495,128,5.514126685018411,57.2367297970345,0.0,0.4368295778897415
SP_867440_0218610,-86.744,21.858,237.51,1443,5.82016608665307,57.567824637989425,0.0,0.440103459966997
SP_865300_2381460,-86.53,238.146,10.361,61,5.982735079026945,59.57552612857101,0.0,0.44345947416092685
SP_857850_2826560,-85.785,282.656,8.701,55,6.320752861957286,63.55292197643955,0.0,0.45026343748071274
SP_864480_2507240,-86.448,250.724,6.034,37,6.378933575002111,64.67512928925302,0.0,0.45182082415868474
SP_882490_2164550,-88.249,216.455,548.953,3331,6.340092932755511,65.31026107793751,0.0,0.4520030339068811
SP_883220_1475060,-88.322,147.506,50.702,307,6.498793625966366,67.13599492067927,0.0,0.4551607409419334
SP_886860_3145140,-88.686,314.514,7.25,43,6.721647692167166,71.07757334067115,0.0,0.4608110907212859
SP_856540_0457150,-85.654,45.715,6.228,36,7.261618834040566,67.35232845915283,0.0,0.46278362277253976
