Latitude(deg.),Longitude(deg.),Slant_Range(m),Incidence_Angle(deg.)
-80.350974,79.384645,113070.675390,26.770431
-80.362187,80.301490,110640.542959,24.560280
-80.361056,80.194459,110944.491052,24.815956
-80.359864,80.084478,111248.200028,25.079922
-80.358420,79.953092,111551.164465,25.408779
-80.357026,79.831032,111854.912881,25.708119
-80.355598,79.709848,112158.298890,26.004101
-80.354175,79.592696,112461.961346,26.286921
-80.352807,79.483813,112766.333955,26.543517
-80.351509,79.383702,113070.649154,26.772568
-80.362720,80.300136,110640.502163,24.563840
-80.361594,80.193576,110944.479315,24.818048
-80.360407,80.084208,111248.227075,25.080109
-80.358964,79.952883,111551.165792,25.408762
-80.357568,79.830699,111854.901479,25.708465
-80.356141,79.709557,112158.311741,26.004290
-80.354712,79.591846,112461.996587,26.288796
-80.353346,79.483173,112766.302766,26.544747
-80.352045,79.382797,113070.628751,26.774587
-80.363254,80.298777,110640.461557,24.567414
-80.362132,80.192732,110944.468782,24.820018
-80.360951,80.084015,111248.243193,25.080059
-80.359509,79.952784,111551.176697,25.408406
-80.358110,79.830315,111854.887536,25.708963
-80.356683,79.709167,112158.384115,26.004767
-80.355249,79.591055,112462.015240,26.290494
-80.353885,79.482480,112766.263257,26.546141
-80.352581,79.381930,113070.611148,26.776492
-80.363787,80.297392,110640.419508,24.571067
-80.362670,80.191886,110944.459110,24.821992
-80.361496,80.083929,111248.281954,25.079678
-80.360055,79.952774,111551.175868,25.407779
-80.358653,79.829929,111854.871989,25.709470
-80.357228,79.709024,112158.418576,26.004498
-80.355787,79.590345,112461.995616,26.291954
-80.354424,79.481838,112766.227715,26.547378
-80.353117,79.381085,113070.592265,26.778327
-80.364320,80.295992,110640.376986,24.574764
-80.363208,80.191012,110944.444835,24.824055
-80.362042,80.083875,111248.333006,25.079198
-80.360602,79.952834,111551.189338,25.406933
-80.359195,79.829539,111854.855224,25.709992
-80.357774,79.709008,112158.419521,26.003847
-80.356326,79.589657,112461.974475,26.293345
-80.354963,79.481247,112766.198021,26.548456
-80.353654,79.380248,113070.572432,26.780137
-80.364853,80.294564,110640.333369,24.578549
-80.363740,80.189588,110944.385467,24.827811
-80.362586,80.083647,111248.384213,25.079248
-80.361149,79.952927,111551.227989,25.405982
-80.359738,79.829302,111854.840440,25.710042
-80.358319,79.708865,112158.454540,26.003578
-80.356865,79.589035,112461.930800,26.294541
-80.355505,79.480826,112766.180561,26.549010
-80.354190,79.379390,113070.538371,26.782016
-80.365385,80.293118,110640.289096,24.582388
-80.364272,80.188112,110944.336510,24.831723
-80.363129,80.083366,111248.408932,25.079466
-80.361695,79.952960,111551.272932,25.405215
-80.360284,79.829259,111854.802303,25.709503
-80.358864,79.708747,112158.225519,26.003295
-80.357406,79.588575,112461.914561,26.295234
-80.356047,79.480517,112766.179660,26.549219
-80.354727,79.378530,113070.500413,26.783901
-80.365918,80.291652,110640.244044,24.586288
-80.364804,80.186653,110944.296719,24.835580
-80.363672,80.083019,111248.410963,25.079891
-80.362241,79.952970,111551.340584,25.404510
