PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction,anomaly_score,is_anomaly_iforest_label,anomaly_rank
SP_843960_1621040,-84.396,162.104,32.076,75,0.586666667,0.733333333,-0.018659453,FALSE,56
SP_823350_2167510,-82.335,216.751,16.088,41,0.56097561,0.951219512,-0.020584531,FALSE,57
SP_850590_3238160,-85.059,323.808,46.526,4,0,0,-0.021480319,FALSE,58
SP_819860_1568660,-81.986,156.866,10.735,63,0.698412698,0.777777778,-0.02254454,FALSE,59
SP_845770_0017070,-84.577,1.709,103.846,378,0.066137566,0.28042328,-0.023993826,FALSE,60
SP_843550_2251140,-84.355,225.114,76.759,434,0.168202765,0.716589862,-0.024631245,FALSE,61
SP_887280_1688800,-88.728,168.88,88.607,199,0,0.728643216,-0.026631365,FALSE,62
SP_839920_3091290,-83.992,309.129,74.531,436,0.110091743,0.424311927,-0.029408412,FALSE,63
SP_812320_3534500,-81.232,353.45,13.378,24,0.208333333,1,-0.031100944,FALSE,64
SP_843960_2077750,-84.396,207.775,72.346,402,0.024875622,0.231343284,-0.031638237,FALSE,65
SP_817610_0619190,-81.761,61.919,79.178,460,0.002173913,0.297826087,-0.031885918,FALSE,66
SP_802260_0424290,-80.226,42.429,99.882,72,0,0.097222222,-0.035787149,FALSE,67
SP_811360_3570070,-81.136,357.007,130.579,92,0.065217391,0.489130435,-0.035821986,FALSE,68
SP_828390_0052930,-82.839,5.293,9.918,44,0.636363636,0.909090909,-0.036041742,FALSE,69
SP_816480_0652210,-81.648,65.222,79.788,466,0.092274678,0.472103004,-0.036609294,FALSE,70
SP_874430_1188390,-87.443,118.839,61.506,359,0.005571031,0.197771588,-0.038207745,FALSE,71
SP_830490_3505380,-83.049,350.54,102.211,443,0.045146727,0.514672686,-0.038517329,FALSE,72
SP_817350_2002230,-81.735,200.223,46.735,271,0.258302583,0.6900369,-0.03859981,FALSE,73
SP_803140_1948670,-80.314,194.867,26.77,157,0.401273885,0.687898089,-0.038832415,FALSE,74
SP_809570_2454450,-80.957,245.445,9.198,52,0.653846154,0.769230769,-0.040589474,FALSE,75
SP_853600_3177620,-85.36,317.758,42.718,249,0.02811245,0.164658635,-0.042514777,FALSE,76
SP_883220_1475060,-88.322,147.506,50.702,23,0,0.043478261,-0.043801171,FALSE,77
SP_818790_1353780,-81.879,135.378,16.276,96,0.5625,0.739583333,-0.04408517,FALSE,78
SP_839400_0748820,-83.94,74.882,5.062,29,0.551724138,0.862068966,-0.044700485,FALSE,79
SP_847970_3070080,-84.797,307.005,22.835,135,0,0,-0.045258182,FALSE,80
SP_819690_0250940,-81.969,25.095,95.332,327,0.03058104,0.345565749,-0.04751913,FALSE,81
SP_843920_1135430,-84.392,113.543,8.942,54,0.62962963,0.833333333,-0.048217452,FALSE,82
SP_827550_0675820,-82.755,67.582,9.335,57,0.105263158,0.964912281,-0.050194937,FALSE,83
SP_806240_0172810,-80.624,17.281,79.92,269,0.130111524,0.513011152,-0.051061481,FALSE,84
SP_813450_1950160,-81.345,195.016,7.512,44,0.613636364,0.75,-0.052480759,FALSE,85
SP_869800_1078330,-86.98,107.833,68.591,403,0.037220844,0.451612903,-0.052610492,FALSE,86
SP_820880_1687420,-82.088,168.742,47.45,278,0.010791367,0.205035971,-0.053129451,FALSE,87
SP_847550_1500770,-84.754,150.083,73.426,12,0.083333333,0.666666667,-0.054318478,FALSE,88
SP_835090_2977670,-83.509,297.768,17.467,104,0.423076923,0.836538462,-0.055013264,FALSE,89
SP_839380_1322510,-83.938,132.251,5.774,34,0.470588235,0.911764706,-0.055120359,FALSE,90
SP_841820_2710340,-84.182,271.034,62.251,368,0.08423913,0.527173913,-0.05546443,FALSE,91
SP_819070_2456410,-81.907,245.641,7.29,43,0.372093023,0.953488372,-0.057720535,FALSE,92
SP_833060_0855030,-83.306,85.503,36.306,213,0.276995305,0.718309859,-0.060439785,FALSE,93
SP_846740_2192870,-84.674,219.287,28.861,154,0.292207792,0.564935065,-0.060944009,FALSE,94
SP_836320_2801250,-83.631,280.125,43.056,256,0.1953125,0.5625,-0.061149232,FALSE,95
SP_805410_3513540,-80.541,351.354,13.421,9,0.333333333,0.888888889,-0.061200555,FALSE,96
SP_807910_0455060,-80.791,45.507,85.403,179,0.005586592,0.340782123,-0.06176954,FALSE,97
SP_860110_2096940,-86.011,209.694,6.39,38,0.552631579,0.736842105,-0.062079228,FALSE,98
SP_833370_2762390,-83.337,276.239,5.022,31,0.290322581,0.935483871,-0.062737843,FALSE,99
SP_833590_2639010,-83.359,263.901,8.111,45,0.444444444,0.911111111,-0.064192785,FALSE,100
SP_847970_3487750,-84.797,348.775,7.729,1,0,0,-0.064249274,FALSE,101
SP_836660_0840100,-83.666,84.011,45.785,214,0.163551402,0.757009346,-0.064965311,FALSE,102
SP_824430_1935820,-82.443,193.582,5.501,31,0.419354839,0.64516129,-0.065640612,FALSE,103
SP_804340_0358560,-80.434,35.856,6.235,33,0.03030303,0.090909091,-0.066268831,FALSE,104
SP_848000_0437590,-84.8,43.759,6.912,41,0.512195122,0.853658537,-0.067669279,FALSE,105
SP_848000_2061800,-84.8,206.179,20.693,9,0,0,-0.068224649,FALSE,106
SP_846960_1555270,-84.696,155.524,15.264,13,0.153846154,0.384615385,-0.068280192,FALSE,107
SP_860780_3461430,-86.078,346.143,7.578,45,0.177777778,0.955555556,-0.068568738,FALSE,108
SP_832050_0736210,-83.205,73.619,17.554,95,0.157894737,0.884210526,-0.068606378,FALSE,109
SP_838590_2630960,-83.859,263.096,25.358,143,0.307692308,0.615384615,-0.070040406,FALSE,110
SP_804280_1769430,-80.428,176.943,9.029,27,0.185185185,0.407407407,-0.070965771,FALSE,111
SP_890390_3377770,-89.038,337.786,60.426,244,0.024590164,0.442622951,-0.071784299,FALSE,112
SP_825930_2151660,-82.593,215.166,6.682,38,0.447368421,0.868421053,-0.072242345,FALSE,113
SP_867930_0609460,-86.793,60.947,24.347,142,0.225352113,0.492957746,-0.07260927,FALSE,114
SP_812090_0460390,-81.209,46.036,33.419,120,0.008333333,0.133333333,-0.073366419,FALSE,115
SP_846760_0470540,-84.676,47.054,5.526,10,0,0,-0.074253928,FALSE,116
SP_879600_1679640,-87.96,167.964,5.216,30,0.166666667,0.933333333,-0.074331853,FALSE,117
SP_846070_3232410,-84.607,323.236,43.542,87,0,0.08045977,-0.074533153,FALSE,118
SP_828910_2713550,-82.891,271.356,73.786,150,0.04,0.453333333,-0.074819536,FALSE,119
SP_882670_1568690,-88.267,156.869,10.897,39,0,0.871794872,-0.075275757,FALSE,120
SP_846780_3207920,-84.678,320.792,5.512,30,0.033333333,0.166666667,-0.075280073,FALSE,121
SP_813110_2434290,-81.311,243.429,8.583,51,0.509803922,0.784313725,-0.075351391,FALSE,122
SP_820970_2909760,-82.097,290.976,9.187,54,0.518518519,0.796296296,-0.075578726,FALSE,123
SP_889630_1297830,-88.963,129.783,6.001,30,0.033333333,0.9,-0.075917372,FALSE,124
SP_809720_0022940,-80.972,2.294,18.029,12,0,0,-0.076110666,FALSE,125
SP_877030_1108490,-87.703,110.849,5.526,35,0.371428571,0.628571429,-0.07641831,FALSE,126
SP_803930_0373630,-80.393,37.363,21.442,123,0.008130081,0.12195122,-0.076472154,FALSE,127
SP_849040_3196480,-84.904,319.648,19.544,115,0.026086957,0.173913043,-0.076591851,FALSE,128
SP_856880_1382610,-85.688,138.261,6.077,39,0.461538462,0.820512821,-0.076804559,FALSE,129
SP_805100_2821250,-80.51,282.125,8.165,48,0.416666667,0.854166667,-0.07714444,FALSE,130
SP_861810_0724650,-86.181,72.465,22.91,128,0.296875,0.6484375,-0.0771705,FALSE,131
SP_846040_3080410,-84.603,308.044,13.741,80,0,0,-0.077665197,FALSE,132
SP_873660_3292250,-87.366,329.225,33.728,198,0.01010101,0.287878788,-0.078609799,FALSE,133
SP_821070_1910430,-82.107,191.043,7.701,37,0.486486486,0.756756757,-0.07915808,FALSE,134
SP_842540_3177610,-84.254,317.761,9.99,56,0.017857143,0.089285714,-0.079904855,FALSE,135
SP_836180_2779590,-83.618,277.959,7.448,45,0,0.866666667,-0.079953569,FALSE,136
