PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_813790_1708250,-81.379,170.825,8.222,42,0.0,0.07142857142857142
SP_809420_0826190,-80.942,82.619,17.107,76,0.0,0.06578947368421052
SP_809330_3447120,-80.933,344.712,6.091,15,0.0,0.0
SP_859960_3189560,-85.996,318.956,5.566,34,0.0,0.38235294117647056
SP_877630_0142920,-87.763,14.292,5.339,34,0.0,0.38235294117647056
SP_840930_3138320,-84.093,313.832,9.623,58,0.0,0.3103448275862069
SP_847790_3176240,-84.779,317.624,9.659,55,0.0,0.12727272727272726
SP_836610_3027240,-83.661,302.724,5.137,28,0.0,0.42857142857142855
SP_833350_3004430,-83.335,300.443,9.626,57,0.0,0.2631578947368421
SP_846760_0470540,-84.676,47.054,5.526,10,0.0,0.0
SP_856540_0457150,-85.654,45.715,6.228,7,0.0,1.0
SP_845880_0533560,-84.588,53.356,8.431,3,0.0,0.6666666666666666
SP_810100_3511850,-81.01,351.185,9.648,54,0.0,0.5555555555555556
SP_818520_3197490,-81.852,319.749,5.926,23,0.0,0.6521739130434783
SP_809240_3091310,-80.924,309.131,5.051,25,0.0,0.48
SP_842170_3497860,-84.217,349.786,5.987,31,0.0,0.22580645161290322
SP_828090_3217290,-82.809,321.729,6.854,41,0.0,0.2926829268292683
SP_834120_3366970,-83.412,336.697,7.481,26,0.0,0.038461538461538464
SP_810100_0472230,-81.01,47.223,7.898,48,0.0,0.041666666666666664
SP_812380_0532000,-81.238,53.2,6.354,37,0.0,0.1891891891891892
SP_869430_0435040,-86.943,43.504,5.443,6,0.0,0.16666666666666666
SP_846240_2956370,-84.624,295.637,6.944,2,0.0,1.0
SP_870200_0151380,-87.02,15.138,7.556,44,0.0,0.22727272727272727
SP_839010_2787150,-83.901,278.715,5.27,33,0.0,0.5151515151515151
SP_814960_0183290,-81.496,18.329,5.299,29,0.0,0.27586206896551724
SP_805640_3296770,-80.564,329.677,5.933,36,0.0,0.5277777777777778
SP_802040_3230700,-80.204,323.07,5.386,23,0.0,0.13043478260869565
SP_812070_0308360,-81.207,30.836,7.445,18,0.0,0.0
SP_802920_0385530,-80.292,38.553,33.451,53,0.0,0.7358490566037735
SP_809720_0022940,-80.972,2.294,18.029,12,0.0,0.0
SP_886050_2261990,-88.605,226.199,6.34,37,0.0,0.05405405405405406
SP_856470_2627260,-85.647,262.726,6.689,41,0.0,0.1951219512195122
SP_845570_2543880,-84.557,254.388,9.979,59,0.0,0.06779661016949153
SP_847930_2862170,-84.793,286.217,5.674,30,0.0,0.43333333333333335
SP_866190_0680240,-86.619,68.024,8.417,17,0.0,0.4117647058823529
SP_836180_2779590,-83.618,277.959,7.448,45,0.0,0.8666666666666667
SP_857850_2826560,-85.785,282.656,8.701,4,0.0,0.75
SP_886860_3145140,-88.686,314.514,7.25,41,0.0,0.3902439024390244
SP_881610_3059360,-88.161,305.936,8.19,30,0.0,0.4666666666666667
SP_843040_1277030,-84.304,127.703,6.898,41,0.0,0.34146341463414637
