PSR_ID,window_size,n_nan,pct_nan,n_zero,n_negative,finite_min,finite_max,raster_nodata_metadata
SP_832640_0090770,115868,39454,34.05,0,0,0.11527165025472641,0.9814985394477844,
SP_830080_0535120,92610,2084,2.25,0,0,0.04746992141008377,0.9742247462272644,
SP_842420_0421060,95312,22942,24.07,0,0,0.12737053632736206,0.9530801177024841,
SP_817950_1586580,143990,77579,53.88,0,0,0.14819484949111938,0.9840049743652344,
SP_840980_0797630,67045,0,0.0,0,0,0.13411842286586761,0.996553361415863,
SP_819860_1568660,53788,8659,16.1,0,0,0.07969532161951065,0.9937130808830261,
SP_809570_2454450,50140,0,0.0,0,0,0.16459040343761444,0.9994040727615356,
SP_871460_0840750,1580048,361013,22.85,0,0,0.04314587637782097,0.9971413612365723,
SP_844580_3134320,1070778,74738,6.98,0,0,0.16374775767326355,0.9995805025100708,
