PSR_ID,lat,lon,area_km2,window_shape,n_valid_pv_inside,n_valid_pv_outside,pv_mean_inside,pv_mean_outside,n_valid_cpr_inside,cpr_mean_inside,cpr_mean_outside,cpr_pct_gt1_inside,n_valid_srd_inside,n_valid_srd_outside,srd_mean_inside,srd_mean_outside,n_valid_trt_inside,trt_mean_inside,trt_mean_outside
SP_832640_0090770,-83.264,9.077,32.494,"(349, 332)",34848,41803,0.5184597373008728,0.4940408766269684,34850,0.7104936242103577,0.6544982194900513,10.791965566714492,34728,41686,0.609366238117218,0.6302887797355652,34850,0.7177075743675232,0.6744011640548706
SP_830080_0535120,-83.008,53.512,22.471,"(315, 294)",35963,55012,0.4904544949531555,0.5586233735084534,35963,0.6684830784797668,0.82359379529953,7.21853015599366,35920,54606,0.6244992017745972,0.5845451951026917,35963,0.6880822777748108,0.8555278182029724
SP_842420_0421060,-84.242,42.106,25.463,"(322, 296)",27826,44595,0.5257440805435181,0.5097543001174927,27855,0.5563169717788696,0.5724154114723206,0.14001077005923532,27844,44526,0.6273762583732605,0.6306877732276917,27855,0.6672560572624207,0.703776478767395
SP_817950_1586580,-81.795,158.658,43.429,"(385, 374)",25811,40621,0.4873003661632538,0.5084717869758606,25815,0.5183734893798828,0.5988043546676636,0.0038737168312996317,25807,40604,0.6604088544845581,0.6317253708839417,25815,0.5903474688529968,0.6800858974456787
SP_840980_0797630,-84.098,79.764,14.234,"(265, 253)",22810,44235,0.5070526003837585,0.4263748526573181,22810,0.6303873658180237,0.5317168831825256,7.325734327049539,22810,44235,0.6362138390541077,0.6924025416374207,22810,0.6513420343399048,0.5305808782577515
SP_819860_1568660,-81.986,156.866,10.735,"(238, 226)",17202,27955,0.4999829828739166,0.49349844455718994,17202,0.6359729170799255,0.6112704873085022,10.411580048831532,17194,27935,0.6358550786972046,0.6328801512718201,17202,0.6539559364318848,0.6403324007987976
SP_809570_2454450,-80.957,245.445,9.198,"(218, 230)",14708,35410,0.42678603529930115,0.3779046833515167,14714,0.3954223096370697,0.40537503361701965,0.09514747859181732,14714,35426,0.7528881430625916,0.7562846541404724,14714,0.4666118025779724,0.4234444200992584
SP_871460_0840750,-87.146,84.075,663.959,"(1258, 1256)",782981,433712,0.2983095645904541,0.32012417912483215,784959,0.3081093728542328,0.33736705780029297,0.8190236687521258,784855,434180,0.782379150390625,0.766018271446228,784959,0.3185479938983917,0.3515262007713318
SP_844580_3134320,-84.458,313.432,315.029,"(1074, 997)",492981,502764,0.17186692357063293,0.2036701887845993,493098,0.14574964344501495,0.18247713148593903,0.008111977740733078,493098,502942,0.8799655437469482,0.8563704490661621,493098,0.15667280554771423,0.198164701461792
