PSR_ID,mean_ice_likelihood_inside_psr,mean_ice_likelihood_outside_psr,n_pixels_valid,separation
SP_819860_1568660,0.2800838053226471,0.18259985744953156,55178,0.09748394787311554
SP_809570_2454450,0.21662139892578125,0.1559438407421112,69296,0.060677558183670044
SP_840980_0797630,0.1937548965215683,0.17714861035346985,69696,0.01660628616809845
SP_830080_0535120,0.20968221127986908,0.1972503811120987,69359,0.012431830167770386
SP_832640_0090770,0.18335998058319092,0.17389941215515137,47352,0.00946056842803955
SP_842420_0421060,0.18924494087696075,0.19618509709835052,49770,-0.0069401562213897705
SP_817950_1586580,0.17255091667175293,0.18735365569591522,25540,-0.014802739024162292
